"","state","gender","age","type","freq"
"43","Tennessee","Male","35.to.44","In.Armed.Forces",4145
"44","Texas","Male","35.to.44","In.Armed.Forces",19018
"45","Utah","Male","35.to.44","In.Armed.Forces",1329
"46","Vermont","Male","35.to.44","In.Armed.Forces",226
"47","Virginia","Male","35.to.44","In.Armed.Forces",25951
"48","Washington","Male","35.to.44","In.Armed.Forces",8746
"49","West Virginia","Male","35.to.44","In.Armed.Forces",577
"50","Wisconsin","Male","35.to.44","In.Armed.Forces",1021
"51","Wyoming","Male","35.to.44","In.Armed.Forces",444
"52","Puerto Rico","Male","35.to.44","In.Armed.Forces",554
"53","Alabama","Male","35.to.44","Employed",237641
"54","Alaska","Male","35.to.44","Employed",36978
"55","Arizona","Male","35.to.44","Employed",332404
"56","Arkansas","Male","35.to.44","Employed",145664
"57","California","Male","35.to.44","Employed",2134889
"58","Colorado","Male","35.to.44","Employed",306529
"59","Connecticut","Male","35.to.44","Employed",200268
"60","Delaware","Male","35.to.44","Employed",46550
"61","District of Columbia","Male","35.to.44","Employed",34009
"62","Florida","Male","35.to.44","Employed",966909
"63","Georgia","Male","35.to.44","Employed",551943
"64","Hawaii","Male","35.to.44","Employed",69675
"65","Idaho","Male","35.to.44","Employed",82025
"66","Illinois","Male","35.to.44","Employed",716444
"67","Indiana","Male","35.to.44","Employed",346036
"68","Iowa","Male","35.to.44","Employed",161944
"69","Kansas","Male","35.to.44","Employed",149514
"70","Kentucky","Male","35.to.44","Employed",222350
"71","Louisiana","Male","35.to.44","Employed",221696
"72","Maine","Male","35.to.44","Employed",70025
"73","Maryland","Male","35.to.44","Employed",325183
"74","Massachusetts","Male","35.to.44","Employed",367158
"75","Michigan","Male","35.to.44","Employed",493609
"76","Minnesota","Male","35.to.44","Employed",302191
"77","Mississippi","Male","35.to.44","Employed",139309
"78","Missouri","Male","35.to.44","Employed",303828
"79","Montana","Male","35.to.44","Employed",48191
"80","Nebraska","Male","35.to.44","Employed",98544
"81","Nevada","Male","35.to.44","Employed",160009
"82","New Hampshire","Male","35.to.44","Employed",77602
"83","New Jersey","Male","35.to.44","Employed",517398
"84","New Mexico","Male","35.to.44","Employed",95813
"85","New York","Male","35.to.44","Employed",1066271
"86","North Carolina","Male","35.to.44","Employed",527920
"87","North Dakota","Male","35.to.44","Employed",35101
"88","Ohio","Male","35.to.44","Employed",597640
"89","Oklahoma","Male","35.to.44","Employed",187636
"90","Oregon","Male","35.to.44","Employed",204505
"91","Pennsylvania","Male","35.to.44","Employed",661288
"92","Rhode Island","Male","35.to.44","Employed",54575
"93","South Carolina","Male","35.to.44","Employed",232372
"94","South Dakota","Male","35.to.44","Employed",41850
"95","Tennessee","Male","35.to.44","Employed",340187
"96","Texas","Male","35.to.44","Employed",1457443
"97","Utah","Male","35.to.44","Employed",149393
"98","Vermont","Male","35.to.44","Employed",33541
"99","Virginia","Male","35.to.44","Employed",448266
"100","Washington","Male","35.to.44","Employed",378754
"101","West Virginia","Male","35.to.44","Employed",89358
"102","Wisconsin","Male","35.to.44","Employed",312701
"103","Wyoming","Male","35.to.44","Employed",31033
"104","Puerto Rico","Male","35.to.44","Employed",155761
"105","Alabama","Male","35.to.44","Unemployed",19031
"106","Alaska","Male","35.to.44","Unemployed",3323
"107","Arizona","Male","35.to.44","Unemployed",28081
"108","Arkansas","Male","35.to.44","Unemployed",10140
"109","California","Male","35.to.44","Unemployed",194284
"110","Colorado","Male","35.to.44","Unemployed",18010
"111","Connecticut","Male","35.to.44","Unemployed",15948
"112","Delaware","Male","35.to.44","Unemployed",3147
"113","District of Columbia","Male","35.to.44","Unemployed",3332
"114","Florida","Male","35.to.44","Unemployed",97514
"115","Georgia","Male","35.to.44","Unemployed",47881
"116","Hawaii","Male","35.to.44","Unemployed",4959
"117","Idaho","Male","35.to.44","Unemployed",5774
"118","Illinois","Male","35.to.44","Unemployed",63747
"119","Indiana","Male","35.to.44","Unemployed",30039
"120","Iowa","Male","35.to.44","Unemployed",7264
"121","Kansas","Male","35.to.44","Unemployed",7643
"122","Kentucky","Male","35.to.44","Unemployed",18354
"123","Louisiana","Male","35.to.44","Unemployed",14145
"124","Maine","Male","35.to.44","Unemployed",4893
"125","Maryland","Male","35.to.44","Unemployed",20686
"126","Massachusetts","Male","35.to.44","Unemployed",28542
"127","Michigan","Male","35.to.44","Unemployed",63908
"128","Minnesota","Male","35.to.44","Unemployed",18318
"129","Mississippi","Male","35.to.44","Unemployed",11248
"130","Missouri","Male","35.to.44","Unemployed",23651
"131","Montana","Male","35.to.44","Unemployed",2693
"132","Nebraska","Male","35.to.44","Unemployed",4407
"133","Nevada","Male","35.to.44","Unemployed",17524
"134","New Hampshire","Male","35.to.44","Unemployed",3640
"135","New Jersey","Male","35.to.44","Unemployed",41237
"136","New Mexico","Male","35.to.44","Unemployed",8693
"137","New York","Male","35.to.44","Unemployed",77093
"138","North Carolina","Male","35.to.44","Unemployed",46677
"139","North Dakota","Male","35.to.44","Unemployed",923
"140","Ohio","Male","35.to.44","Unemployed",55293
"141","Oklahoma","Male","35.to.44","Unemployed",10429
"142","Oregon","Male","35.to.44","Unemployed",22502
"143","Pennsylvania","Male","35.to.44","Unemployed",48214
"144","Rhode Island","Male","35.to.44","Unemployed",4730
"145","South Carolina","Male","35.to.44","Unemployed",22460
"146","South Dakota","Male","35.to.44","Unemployed",1545
"147","Tennessee","Male","35.to.44","Unemployed",27057
"148","Texas","Male","35.to.44","Unemployed",81495
"149","Utah","Male","35.to.44","Unemployed",8410
"150","Vermont","Male","35.to.44","Unemployed",1813
"151","Virginia","Male","35.to.44","Unemployed",22420
"152","Washington","Male","35.to.44","Unemployed",29294
"153","West Virginia","Male","35.to.44","Unemployed",7115
"154","Wisconsin","Male","35.to.44","Unemployed",21412
"155","Wyoming","Male","35.to.44","Unemployed",1185
"156","Puerto Rico","Male","35.to.44","Unemployed",25135
"157","Alabama","Male","45.to.54","In.Armed.Forces",1428
"158","Alaska","Male","45.to.54","In.Armed.Forces",544
"159","Arizona","Male","45.to.54","In.Armed.Forces",820
"160","Arkansas","Male","45.to.54","In.Armed.Forces",436
"161","California","Male","45.to.54","In.Armed.Forces",5185
"162","Colorado","Male","45.to.54","In.Armed.Forces",1429
"163","Connecticut","Male","45.to.54","In.Armed.Forces",283
"164","Delaware","Male","45.to.54","In.Armed.Forces",172
"165","District of Columbia","Male","45.to.54","In.Armed.Forces",196
"166","Florida","Male","45.to.54","In.Armed.Forces",3023
"167","Georgia","Male","45.to.54","In.Armed.Forces",2625
"168","Hawaii","Male","45.to.54","In.Armed.Forces",1559
"169","Idaho","Male","45.to.54","In.Armed.Forces",151
"170","Illinois","Male","45.to.54","In.Armed.Forces",912
"171","Indiana","Male","45.to.54","In.Armed.Forces",464
"172","Iowa","Male","45.to.54","In.Armed.Forces",222
"173","Kansas","Male","45.to.54","In.Armed.Forces",763
"174","Kentucky","Male","45.to.54","In.Armed.Forces",606
"175","Louisiana","Male","45.to.54","In.Armed.Forces",721
"176","Maine","Male","45.to.54","In.Armed.Forces",196
"177","Maryland","Male","45.to.54","In.Armed.Forces",2387
"178","Massachusetts","Male","45.to.54","In.Armed.Forces",500
"179","Michigan","Male","45.to.54","In.Armed.Forces",319
"180","Minnesota","Male","45.to.54","In.Armed.Forces",289
"181","Mississippi","Male","45.to.54","In.Armed.Forces",970
"182","Missouri","Male","45.to.54","In.Armed.Forces",558
"183","Montana","Male","45.to.54","In.Armed.Forces",173
"184","Nebraska","Male","45.to.54","In.Armed.Forces",397
"185","Nevada","Male","45.to.54","In.Armed.Forces",802
"186","New Hampshire","Male","45.to.54","In.Armed.Forces",142
"187","New Jersey","Male","45.to.54","In.Armed.Forces",525
"188","New Mexico","Male","45.to.54","In.Armed.Forces",274
"189","New York","Male","45.to.54","In.Armed.Forces",1157
"190","North Carolina","Male","45.to.54","In.Armed.Forces",2965
"191","North Dakota","Male","45.to.54","In.Armed.Forces",179
"192","Ohio","Male","45.to.54","In.Armed.Forces",1003
"193","Oklahoma","Male","45.to.54","In.Armed.Forces",1018
"194","Oregon","Male","45.to.54","In.Armed.Forces",208
"195","Pennsylvania","Male","45.to.54","In.Armed.Forces",1090
"196","Rhode Island","Male","45.to.54","In.Armed.Forces",231
"197","South Carolina","Male","45.to.54","In.Armed.Forces",843
"198","South Dakota","Male","45.to.54","In.Armed.Forces",91
"199","Tennessee","Male","45.to.54","In.Armed.Forces",1159
"200","Texas","Male","45.to.54","In.Armed.Forces",4497
"201","Utah","Male","45.to.54","In.Armed.Forces",358
"202","Vermont","Male","45.to.54","In.Armed.Forces",71
"203","Virginia","Male","45.to.54","In.Armed.Forces",7420
"204","Washington","Male","45.to.54","In.Armed.Forces",1779
"205","West Virginia","Male","45.to.54","In.Armed.Forces",115
"206","Wisconsin","Male","45.to.54","In.Armed.Forces",443
"207","Wyoming","Male","45.to.54","In.Armed.Forces",47
"208","Puerto Rico","Male","45.to.54","In.Armed.Forces",389
"209","Alabama","Male","45.to.54","Employed",246164
"210","Alaska","Male","45.to.54","Employed",45170
"211","Arizona","Male","45.to.54","Employed",318399
"212","Arkansas","Male","45.to.54","Employed",147654
"213","California","Male","45.to.54","Employed",2038689
"214","Colorado","Male","45.to.54","Employed",302995
"215","Connecticut","Male","45.to.54","Employed",231147
"216","Delaware","Male","45.to.54","Employed",51342
"217","District of Columbia","Male","45.to.54","Employed",27204
"218","Florida","Male","45.to.54","Employed",1018331
"219","Georgia","Male","45.to.54","Employed",520325
"220","Hawaii","Male","45.to.54","Employed",76902
"221","Idaho","Male","45.to.54","Employed",83061
"222","Illinois","Male","45.to.54","Employed",731028
"223","Indiana","Male","45.to.54","Employed",370422
"224","Iowa","Male","45.to.54","Employed",185366
"225","Kansas","Male","45.to.54","Employed",166439
"226","Kentucky","Male","45.to.54","Employed",226532
"227","Louisiana","Male","45.to.54","Employed",239100
"228","Maine","Male","45.to.54","Employed",84214
"229","Maryland","Male","45.to.54","Employed",357282
"230","Massachusetts","Male","45.to.54","Employed",399653
"231","Michigan","Male","45.to.54","Employed",546446
"232","Minnesota","Male","45.to.54","Employed",341921
"233","Mississippi","Male","45.to.54","Employed",146281
"234","Missouri","Male","45.to.54","Employed",338309
"235","Montana","Male","45.to.54","Employed",58993
"236","Nebraska","Male","45.to.54","Employed",110467
"237","Nevada","Male","45.to.54","Employed",145218
"238","New Hampshire","Male","45.to.54","Employed",94760
"239","New Jersey","Male","45.to.54","Employed",553289
"240","New Mexico","Male","45.to.54","Employed",104938
"241","New York","Male","45.to.54","Employed",1110302
"242","North Carolina","Male","45.to.54","Employed",507426
"243","North Dakota","Male","45.to.54","Employed",42661
"244","Ohio","Male","45.to.54","Employed",663979
"245","Oklahoma","Male","45.to.54","Employed",202408
"246","Oregon","Male","45.to.54","Employed",203155
"247","Pennsylvania","Male","45.to.54","Employed",757214
"248","Rhode Island","Male","45.to.54","Employed",60857
"249","South Carolina","Male","45.to.54","Employed",233719
"250","South Dakota","Male","45.to.54","Employed",49345
"251","Tennessee","Male","45.to.54","Employed",336525
"252","Texas","Male","45.to.54","Employed",1376759
"253","Utah","Male","45.to.54","Employed",130557
"254","Vermont","Male","45.to.54","Employed",41404
"255","Virginia","Male","45.to.54","Employed",479405
"256","Washington","Male","45.to.54","Employed",393537
"257","West Virginia","Male","45.to.54","Employed",96314
"258","Wisconsin","Male","45.to.54","Employed",360738
"259","Wyoming","Male","45.to.54","Employed",35953
"260","Puerto Rico","Male","45.to.54","Employed",131255
"261","Alabama","Male","45.to.54","Unemployed",19529
"262","Alaska","Male","45.to.54","Unemployed",3596
"263","Arizona","Male","45.to.54","Unemployed",27776
"264","Arkansas","Male","45.to.54","Unemployed",10156
"265","California","Male","45.to.54","Unemployed",195548
"266","Colorado","Male","45.to.54","Unemployed",22247
"267","Connecticut","Male","45.to.54","Unemployed",17667
"268","Delaware","Male","45.to.54","Unemployed",3961
"269","District of Columbia","Male","45.to.54","Unemployed",3567
"270","Florida","Male","45.to.54","Unemployed",110472
"271","Georgia","Male","45.to.54","Unemployed",45299
"272","Hawaii","Male","45.to.54","Unemployed",4801
"273","Idaho","Male","45.to.54","Unemployed",6640
"274","Illinois","Male","45.to.54","Unemployed",69268
"275","Indiana","Male","45.to.54","Unemployed",30914
"276","Iowa","Male","45.to.54","Unemployed",9211
"277","Kansas","Male","45.to.54","Unemployed",8942
"278","Kentucky","Male","45.to.54","Unemployed",17788
"279","Louisiana","Male","45.to.54","Unemployed",15298
"280","Maine","Male","45.to.54","Unemployed",5498
"281","Maryland","Male","45.to.54","Unemployed",22090
"282","Massachusetts","Male","45.to.54","Unemployed",33714
"283","Michigan","Male","45.to.54","Unemployed",68294
"284","Minnesota","Male","45.to.54","Unemployed",23028
"285","Mississippi","Male","45.to.54","Unemployed",10089
"286","Missouri","Male","45.to.54","Unemployed",26725
"287","Montana","Male","45.to.54","Unemployed",4009
"288","Nebraska","Male","45.to.54","Unemployed",4807
"289","Nevada","Male","45.to.54","Unemployed",18180
"290","New Hampshire","Male","45.to.54","Unemployed",5389
"291","New Jersey","Male","45.to.54","Unemployed",45838
"292","New Mexico","Male","45.to.54","Unemployed",7634
"293","New York","Male","45.to.54","Unemployed",81127
"294","North Carolina","Male","45.to.54","Unemployed",47020
"295","North Dakota","Male","45.to.54","Unemployed",1151
"296","Ohio","Male","45.to.54","Unemployed",58709
"297","Oklahoma","Male","45.to.54","Unemployed",10425
"298","Oregon","Male","45.to.54","Unemployed",22008
"299","Pennsylvania","Male","45.to.54","Unemployed",55004
"300","Rhode Island","Male","45.to.54","Unemployed",5425
"301","South Carolina","Male","45.to.54","Unemployed",22195
"302","South Dakota","Male","45.to.54","Unemployed",2013
"303","Tennessee","Male","45.to.54","Unemployed",28949
"304","Texas","Male","45.to.54","Unemployed",81023
"305","Utah","Male","45.to.54","Unemployed",7331
"306","Vermont","Male","45.to.54","Unemployed",2336
"307","Virginia","Male","45.to.54","Unemployed",24898
"308","Washington","Male","45.to.54","Unemployed",30158
"309","West Virginia","Male","45.to.54","Unemployed",6508
"310","Wisconsin","Male","45.to.54","Unemployed",25486
"311","Wyoming","Male","45.to.54","Unemployed",1328
"312","Puerto Rico","Male","45.to.54","Unemployed",21560
"313","Alabama","Male","75.and.over","Employed",8452
"314","Alaska","Male","75.and.over","Employed",936
"315","Arizona","Male","75.and.over","Employed",10641
"316","Arkansas","Male","75.and.over","Employed",5329
"317","California","Male","75.and.over","Employed",61246
"318","Colorado","Male","75.and.over","Employed",8245
"319","Connecticut","Male","75.and.over","Employed",9468
"320","Delaware","Male","75.and.over","Employed",1691
"321","District of Columbia","Male","75.and.over","Employed",1392
"322","Florida","Male","75.and.over","Employed",47083
"323","Georgia","Male","75.and.over","Employed",12749
"324","Hawaii","Male","75.and.over","Employed",3215
"325","Idaho","Male","75.and.over","Employed",2698
"326","Illinois","Male","75.and.over","Employed",24521
"327","Indiana","Male","75.and.over","Employed",13086
"328","Iowa","Male","75.and.over","Employed",8527
"329","Kansas","Male","75.and.over","Employed",7922
"330","Kentucky","Male","75.and.over","Employed",7974
"331","Louisiana","Male","75.and.over","Employed",7963
"332","Maine","Male","75.and.over","Employed",3219
"333","Maryland","Male","75.and.over","Employed",12715
"334","Massachusetts","Male","75.and.over","Employed",15798
"335","Michigan","Male","75.and.over","Employed",15797
"336","Minnesota","Male","75.and.over","Employed",10579
"337","Mississippi","Male","75.and.over","Employed",5441
"338","Missouri","Male","75.and.over","Employed",12343
"339","Montana","Male","75.and.over","Employed",2914
"340","Nebraska","Male","75.and.over","Employed",5447
"341","Nevada","Male","75.and.over","Employed",4644
"342","New Hampshire","Male","75.and.over","Employed",2919
"343","New Jersey","Male","75.and.over","Employed",20393
"344","New Mexico","Male","75.and.over","Employed",4044
"345","New York","Male","75.and.over","Employed",41247
"346","North Carolina","Male","75.and.over","Employed",17227
"347","North Dakota","Male","75.and.over","Employed",1938
"348","Ohio","Male","75.and.over","Employed",22966
"349","Oklahoma","Male","75.and.over","Employed",8747
"350","Oregon","Male","75.and.over","Employed",6144
"351","Pennsylvania","Male","75.and.over","Employed",29644
"352","Rhode Island","Male","75.and.over","Employed",2586
"353","South Carolina","Male","75.and.over","Employed",8070
"354","South Dakota","Male","75.and.over","Employed",2632
"355","Tennessee","Male","75.and.over","Employed",11263
"356","Texas","Male","75.and.over","Employed",41607
"357","Utah","Male","75.and.over","Employed",3851
"358","Vermont","Male","75.and.over","Employed",1707
"359","Virginia","Male","75.and.over","Employed",14808
"360","Washington","Male","75.and.over","Employed",9540
"361","West Virginia","Male","75.and.over","Employed",2972
"362","Wisconsin","Male","75.and.over","Employed",11127
"363","Wyoming","Male","75.and.over","Employed",1431
"364","Puerto Rico","Male","75.and.over","Employed",3826
"365","Alabama","Male","75.and.over","Unemployed",529
"366","Alaska","Male","75.and.over","Unemployed",29
"367","Arizona","Male","75.and.over","Unemployed",917
"368","Arkansas","Male","75.and.over","Unemployed",218
"369","California","Male","75.and.over","Unemployed",4764
"370","Colorado","Male","75.and.over","Unemployed",466
"371","Connecticut","Male","75.and.over","Unemployed",754
"372","Delaware","Male","75.and.over","Unemployed",115
"373","District of Columbia","Male","75.and.over","Unemployed",25
"374","Florida","Male","75.and.over","Unemployed",4741
"375","Georgia","Male","75.and.over","Unemployed",1024
"376","Hawaii","Male","75.and.over","Unemployed",72
"377","Idaho","Male","75.and.over","Unemployed",139
"378","Illinois","Male","75.and.over","Unemployed",1177
"379","Indiana","Male","75.and.over","Unemployed",676
"380","Iowa","Male","75.and.over","Unemployed",335
"381","Kansas","Male","75.and.over","Unemployed",222
"382","Kentucky","Male","75.and.over","Unemployed",352
"383","Louisiana","Male","75.and.over","Unemployed",409
"384","Maine","Male","75.and.over","Unemployed",121
"385","Maryland","Male","75.and.over","Unemployed",586
"386","Massachusetts","Male","75.and.over","Unemployed",1033
"387","Michigan","Male","75.and.over","Unemployed",1129
"388","Minnesota","Male","75.and.over","Unemployed",571
"389","Mississippi","Male","75.and.over","Unemployed",289
"390","Missouri","Male","75.and.over","Unemployed",663
"391","Montana","Male","75.and.over","Unemployed",116
"392","Nebraska","Male","75.and.over","Unemployed",136
"393","Nevada","Male","75.and.over","Unemployed",817
"394","New Hampshire","Male","75.and.over","Unemployed",159
"395","New Jersey","Male","75.and.over","Unemployed",1935
"396","New Mexico","Male","75.and.over","Unemployed",273
"397","New York","Male","75.and.over","Unemployed",2778
"398","North Carolina","Male","75.and.over","Unemployed",911
"399","North Dakota","Male","75.and.over","Unemployed",82
"400","Ohio","Male","75.and.over","Unemployed",860
"401","Oklahoma","Male","75.and.over","Unemployed",189
"402","Oregon","Male","75.and.over","Unemployed",375
"403","Pennsylvania","Male","75.and.over","Unemployed",1956
"404","Rhode Island","Male","75.and.over","Unemployed",137
"405","South Carolina","Male","75.and.over","Unemployed",470
"406","South Dakota","Male","75.and.over","Unemployed",52
"407","Tennessee","Male","75.and.over","Unemployed",733
"408","Texas","Male","75.and.over","Unemployed",1719
"409","Utah","Male","75.and.over","Unemployed",208
"410","Vermont","Male","75.and.over","Unemployed",92
"411","Virginia","Male","75.and.over","Unemployed",850
"412","Washington","Male","75.and.over","Unemployed",745
"413","West Virginia","Male","75.and.over","Unemployed",102
"414","Wisconsin","Male","75.and.over","Unemployed",690
"415","Wyoming","Male","75.and.over","Unemployed",39
"416","Puerto Rico","Male","75.and.over","Unemployed",135
"417","Alabama","Female","35.to.44","In.Armed.Forces",769
"418","Alaska","Female","35.to.44","In.Armed.Forces",274
"419","Arizona","Female","35.to.44","In.Armed.Forces",357
"420","Arkansas","Female","35.to.44","In.Armed.Forces",213
"421","California","Female","35.to.44","In.Armed.Forces",1727
"422","Colorado","Female","35.to.44","In.Armed.Forces",795
"423","Connecticut","Female","35.to.44","In.Armed.Forces",105
"424","Delaware","Female","35.to.44","In.Armed.Forces",73
"425","District of Columbia","Female","35.to.44","In.Armed.Forces",123
"426","Florida","Female","35.to.44","In.Armed.Forces",1738
"427","Georgia","Female","35.to.44","In.Armed.Forces",1490
"428","Hawaii","Female","35.to.44","In.Armed.Forces",798
"429","Idaho","Female","35.to.44","In.Armed.Forces",62
"430","Illinois","Female","35.to.44","In.Armed.Forces",658
"431","Indiana","Female","35.to.44","In.Armed.Forces",249
"432","Iowa","Female","35.to.44","In.Armed.Forces",72
"433","Kansas","Female","35.to.44","In.Armed.Forces",165
"434","Kentucky","Female","35.to.44","In.Armed.Forces",174
"435","Louisiana","Female","35.to.44","In.Armed.Forces",402
"436","Maine","Female","35.to.44","In.Armed.Forces",95
"437","Maryland","Female","35.to.44","In.Armed.Forces",1249
"438","Massachusetts","Female","35.to.44","In.Armed.Forces",203
"439","Michigan","Female","35.to.44","In.Armed.Forces",125
"440","Minnesota","Female","35.to.44","In.Armed.Forces",39
"441","Mississippi","Female","35.to.44","In.Armed.Forces",279
"442","Missouri","Female","35.to.44","In.Armed.Forces",445
"443","Montana","Female","35.to.44","In.Armed.Forces",32
"444","Nebraska","Female","35.to.44","In.Armed.Forces",115
"445","Nevada","Female","35.to.44","In.Armed.Forces",233
"446","New Hampshire","Female","35.to.44","In.Armed.Forces",39
"447","New Jersey","Female","35.to.44","In.Armed.Forces",191
"448","New Mexico","Female","35.to.44","In.Armed.Forces",319
"449","New York","Female","35.to.44","In.Armed.Forces",336
"450","North Carolina","Female","35.to.44","In.Armed.Forces",1232
"451","North Dakota","Female","35.to.44","In.Armed.Forces",125
"452","Ohio","Female","35.to.44","In.Armed.Forces",453
"453","Oklahoma","Female","35.to.44","In.Armed.Forces",579
"454","Oregon","Female","35.to.44","In.Armed.Forces",69
"455","Pennsylvania","Female","35.to.44","In.Armed.Forces",253
"456","Rhode Island","Female","35.to.44","In.Armed.Forces",224
"457","South Carolina","Female","35.to.44","In.Armed.Forces",515
"458","South Dakota","Female","35.to.44","In.Armed.Forces",161
"459","Tennessee","Female","35.to.44","In.Armed.Forces",393
"460","Texas","Female","35.to.44","In.Armed.Forces",2898
"461","Utah","Female","35.to.44","In.Armed.Forces",70
"462","Vermont","Female","35.to.44","In.Armed.Forces",15
"463","Virginia","Female","35.to.44","In.Armed.Forces",3610
"464","Washington","Female","35.to.44","In.Armed.Forces",858
"465","West Virginia","Female","35.to.44","In.Armed.Forces",60
"466","Wisconsin","Female","35.to.44","In.Armed.Forces",117
"467","Wyoming","Female","35.to.44","In.Armed.Forces",85
"468","Puerto Rico","Female","35.to.44","In.Armed.Forces",8
"469","Alabama","Female","35.to.44","Employed",216157
"470","Alaska","Female","35.to.44","Employed",32429
"471","Arizona","Female","35.to.44","Employed",278264
"472","Arkansas","Female","35.to.44","Employed",130436
"473","California","Female","35.to.44","Employed",1719061
"474","Colorado","Female","35.to.44","Employed",249928
"475","Connecticut","Female","35.to.44","Employed",181035
"476","Delaware","Female","35.to.44","Employed",43840
"477","District of Columbia","Female","35.to.44","Employed",30534
"478","Florida","Female","35.to.44","Employed",867555
"479","Georgia","Female","35.to.44","Employed",499938
"480","Hawaii","Female","35.to.44","Employed",65276
"481","Idaho","Female","35.to.44","Employed",66021
"482","Illinois","Female","35.to.44","Employed",616699
"483","Indiana","Female","35.to.44","Employed",303232
"484","Iowa","Female","35.to.44","Employed",145729
"485","Kansas","Female","35.to.44","Employed",130843
"486","Kentucky","Female","35.to.44","Employed",197550
"487","Louisiana","Female","35.to.44","Employed",201908
"488","Maine","Female","35.to.44","Employed",66180
"489","Maryland","Female","35.to.44","Employed",322025
"490","Massachusetts","Female","35.to.44","Employed",340268
"491","Michigan","Female","35.to.44","Employed",449950
"492","Minnesota","Female","35.to.44","Employed",268699
"493","Mississippi","Female","35.to.44","Employed",132646
"494","Missouri","Female","35.to.44","Employed",277228
"495","Montana","Female","35.to.44","Employed",42463
"496","Nebraska","Female","35.to.44","Employed",86283
"497","Nevada","Female","35.to.44","Employed",131816
"498","New Hampshire","Female","35.to.44","Employed",68934
"499","New Jersey","Female","35.to.44","Employed",447558
"500","New Mexico","Female","35.to.44","Employed",86487
"501","New York","Female","35.to.44","Employed",950339
"502","North Carolina","Female","35.to.44","Employed",477156
"503","North Dakota","Female","35.to.44","Employed",30386
"504","Ohio","Female","35.to.44","Employed",542772
"505","Oklahoma","Female","35.to.44","Employed",162535
"506","Oregon","Female","35.to.44","Employed",174285
"507","Pennsylvania","Female","35.to.44","Employed",589910
"508","Rhode Island","Female","35.to.44","Employed",52563
"509","South Carolina","Female","35.to.44","Employed",213021
"510","South Dakota","Female","35.to.44","Employed",37458
"511","Tennessee","Female","35.to.44","Employed",296386
"512","Texas","Female","35.to.44","Employed",1198489
"513","Utah","Female","35.to.44","Employed",109963
"514","Vermont","Female","35.to.44","Employed",32266
"515","Virginia","Female","35.to.44","Employed",413132
"516","Washington","Female","35.to.44","Employed",314550
"517","West Virginia","Female","35.to.44","Employed",80335
"518","Wisconsin","Female","35.to.44","Employed",281721
"519","Wyoming","Female","35.to.44","Employed",24949
"520","Puerto Rico","Female","35.to.44","Employed",141490
"521","Alabama","Female","35.to.44","Unemployed",19380
"522","Alaska","Female","35.to.44","Unemployed",2071
"523","Arizona","Female","35.to.44","Unemployed",22926
"524","Arkansas","Female","35.to.44","Unemployed",9338
"525","California","Female","35.to.44","Unemployed",178328
