"","state","level","household","education","freq"
"56","Arkansas","below.poverty.level","Married.couple.family","Highhool.graduate",14499
"57","California","below.poverty.level","Married.couple.family","Highhool.graduate",92686
"58","Colorado","below.poverty.level","Married.couple.family","Highhool.graduate",11443
"59","Connecticut","below.poverty.level","Married.couple.family","Highhool.graduate",5709
"60","Delaware","below.poverty.level","Married.couple.family","Highhool.graduate",1522
"61","District of Columbia","below.poverty.level","Married.couple.family","Highhool.graduate",531
"62","Florida","below.poverty.level","Married.couple.family","Highhool.graduate",68357
"63","Georgia","below.poverty.level","Married.couple.family","Highhool.graduate",35688
"64","Hawaii","below.poverty.level","Married.couple.family","Highhool.graduate",3591
"65","Idaho","below.poverty.level","Married.couple.family","Highhool.graduate",5742
"66","Illinois","below.poverty.level","Married.couple.family","Highhool.graduate",31449
"67","Indiana","below.poverty.level","Married.couple.family","Highhool.graduate",21737
"68","Iowa","below.poverty.level","Married.couple.family","Highhool.graduate",7755
"69","Kansas","below.poverty.level","Married.couple.family","Highhool.graduate",7225
"70","Kentucky","below.poverty.level","Married.couple.family","Highhool.graduate",21071
"71","Louisiana","below.poverty.level","Married.couple.family","Highhool.graduate",15115
"72","Maine","below.poverty.level","Married.couple.family","Highhool.graduate",4865
"73","Maryland","below.poverty.level","Married.couple.family","Highhool.graduate",8039
"74","Massachusetts","below.poverty.level","Married.couple.family","Highhool.graduate",10275
"75","Michigan","below.poverty.level","Married.couple.family","Highhool.graduate",33816
"76","Minnesota","below.poverty.level","Married.couple.family","Highhool.graduate",10148
"77","Mississippi","below.poverty.level","Married.couple.family","Highhool.graduate",11385
"78","Missouri","below.poverty.level","Married.couple.family","Highhool.graduate",19546
"79","Montana","below.poverty.level","Married.couple.family","Highhool.graduate",3501
"80","Nebraska","below.poverty.level","Married.couple.family","Highhool.graduate",4136
"81","Nevada","below.poverty.level","Married.couple.family","Highhool.graduate",7427
"82","New Hampshire","below.poverty.level","Married.couple.family","Highhool.graduate",2318
"83","New Jersey","below.poverty.level","Married.couple.family","Highhool.graduate",16479
"84","New Mexico","below.poverty.level","Married.couple.family","Highhool.graduate",8736
"85","New York","below.poverty.level","Married.couple.family","Highhool.graduate",58346
"86","North Carolina","below.poverty.level","Married.couple.family","Highhool.graduate",30371
"87","North Dakota","below.poverty.level","Married.couple.family","Highhool.graduate",1466
"88","Ohio","below.poverty.level","Married.couple.family","Highhool.graduate",37030
"89","Oklahoma","below.poverty.level","Married.couple.family","Highhool.graduate",15209
"90","Oregon","below.poverty.level","Married.couple.family","Highhool.graduate",10685
"91","Pennsylvania","below.poverty.level","Married.couple.family","Highhool.graduate",37026
"92","Rhode Island","below.poverty.level","Married.couple.family","Highhool.graduate",2171
"93","South Carolina","below.poverty.level","Married.couple.family","Highhool.graduate",17490
"94","South Dakota","below.poverty.level","Married.couple.family","Highhool.graduate",2359
"95","Tennessee","below.poverty.level","Married.couple.family","Highhool.graduate",28714
"96","Texas","below.poverty.level","Married.couple.family","Highhool.graduate",87162
"97","Utah","below.poverty.level","Married.couple.family","Highhool.graduate",6730
"98","Vermont","below.poverty.level","Married.couple.family","Highhool.graduate",1602
"99","Virginia","below.poverty.level","Married.couple.family","Highhool.graduate",16891
"100","Washington","below.poverty.level","Married.couple.family","Highhool.graduate",14638
"101","West Virginia","below.poverty.level","Married.couple.family","Highhool.graduate",10738
"102","Wisconsin","below.poverty.level","Married.couple.family","Highhool.graduate",14248
"103","Wyoming","below.poverty.level","Married.couple.family","Highhool.graduate",1204
"104","Puerto Rico","below.poverty.level","Married.couple.family","Highhool.graduate",47153
"105","Alabama","below.poverty.level","Married.couple.family","ociatedegree",13078
"106","Alaska","below.poverty.level","Married.couple.family","ociatedegree",954
"107","Arizona","below.poverty.level","Married.couple.family","ociatedegree",20157
"108","Arkansas","below.poverty.level","Married.couple.family","ociatedegree",10357
"109","California","below.poverty.level","Married.couple.family","ociatedegree",85524
"110","Colorado","below.poverty.level","Married.couple.family","ociatedegree",11585
"111","Connecticut","below.poverty.level","Married.couple.family","ociatedegree",3717
"112","Delaware","below.poverty.level","Married.couple.family","ociatedegree",1058
"113","District of Columbia","below.poverty.level","Married.couple.family","ociatedegree",374
"114","Florida","below.poverty.level","Married.couple.family","ociatedegree",50601
"115","Georgia","below.poverty.level","Married.couple.family","ociatedegree",23255
"116","Hawaii","below.poverty.level","Married.couple.family","ociatedegree",3168
"117","Idaho","below.poverty.level","Married.couple.family","ociatedegree",7339
"118","Illinois","below.poverty.level","Married.couple.family","ociatedegree",23363
"119","Indiana","below.poverty.level","Married.couple.family","ociatedegree",14178
"120","Iowa","below.poverty.level","Married.couple.family","ociatedegree",6922
"121","Kansas","below.poverty.level","Married.couple.family","ociatedegree",6576
"122","Kentucky","below.poverty.level","Married.couple.family","ociatedegree",12962
"123","Louisiana","below.poverty.level","Married.couple.family","ociatedegree",9465
"124","Maine","below.poverty.level","Married.couple.family","ociatedegree",2777
"125","Maryland","below.poverty.level","Married.couple.family","ociatedegree",5639
"126","Massachusetts","below.poverty.level","Married.couple.family","ociatedegree",8021
"127","Michigan","below.poverty.level","Married.couple.family","ociatedegree",29515
"128","Minnesota","below.poverty.level","Married.couple.family","ociatedegree",9789
"129","Mississippi","below.poverty.level","Married.couple.family","ociatedegree",9851
"130","Missouri","below.poverty.level","Married.couple.family","ociatedegree",14866
"131","Montana","below.poverty.level","Married.couple.family","ociatedegree",3991
"132","Nebraska","below.poverty.level","Married.couple.family","ociatedegree",4279
"133","Nevada","below.poverty.level","Married.couple.family","ociatedegree",6900
"134","New Hampshire","below.poverty.level","Married.couple.family","ociatedegree",1878
"135","New Jersey","below.poverty.level","Married.couple.family","ociatedegree",11191
"136","New Mexico","below.poverty.level","Married.couple.family","ociatedegree",6590
"137","New York","below.poverty.level","Married.couple.family","ociatedegree",35186
"138","North Carolina","below.poverty.level","Married.couple.family","ociatedegree",26916
"139","North Dakota","below.poverty.level","Married.couple.family","ociatedegree",1476
"140","Ohio","below.poverty.level","Married.couple.family","ociatedegree",24851
"141","Oklahoma","below.poverty.level","Married.couple.family","ociatedegree",12182
"142","Oregon","below.poverty.level","Married.couple.family","ociatedegree",13175
"143","Pennsylvania","below.poverty.level","Married.couple.family","ociatedegree",19220
"144","Rhode Island","below.poverty.level","Married.couple.family","ociatedegree",1240
"145","South Carolina","below.poverty.level","Married.couple.family","ociatedegree",11183
"146","South Dakota","below.poverty.level","Married.couple.family","ociatedegree",1774
"147","Tennessee","below.poverty.level","Married.couple.family","ociatedegree",17675
"148","Texas","below.poverty.level","Married.couple.family","ociatedegree",61740
"149","Utah","below.poverty.level","Married.couple.family","ociatedegree",12296
"150","Vermont","below.poverty.level","Married.couple.family","ociatedegree",986
"151","Virginia","below.poverty.level","Married.couple.family","ociatedegree",12508
"152","Washington","below.poverty.level","Married.couple.family","ociatedegree",17488
"153","West Virginia","below.poverty.level","Married.couple.family","ociatedegree",5171
"154","Wisconsin","below.poverty.level","Married.couple.family","ociatedegree",10835
"155","Wyoming","below.poverty.level","Married.couple.family","ociatedegree",1435
"156","Puerto Rico","below.poverty.level","Married.couple.family","ociatedegree",25611
"157","Alabama","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",4430
"158","Alaska","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",499
"159","Arizona","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",8631
"160","Arkansas","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",2149
"161","California","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",49924
"162","Colorado","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",7792
"163","Connecticut","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",3560
"164","Delaware","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",906
"165","District of Columbia","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",389
"166","Florida","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",29199
"167","Georgia","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",11614
"168","Hawaii","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",1346
"169","Idaho","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",3004
"170","Illinois","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",15343
"171","Indiana","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",5054
"172","Iowa","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",2573
"173","Kansas","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",2930
"174","Kentucky","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",3953
"175","Louisiana","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",2429
"176","Maine","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",1316
"177","Maryland","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",5100
"178","Massachusetts","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",7198
"179","Michigan","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",11021
"180","Minnesota","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",4468
"181","Mississippi","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",2468
"182","Missouri","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",6043
"183","Montana","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",1520
"184","Nebraska","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",1674
"185","Nevada","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",3264
"186","New Hampshire","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",939
"187","New Jersey","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",11359
"188","New Mexico","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",2329
"189","New York","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",26209
"190","North Carolina","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",9257
"191","North Dakota","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",606
"192","Ohio","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",10975
"193","Oklahoma","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",3244
"194","Oregon","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",5985
"195","Pennsylvania","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",11293
"196","Rhode Island","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",966
"197","South Carolina","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",3545
"198","South Dakota","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",804
"199","Tennessee","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",5875
"200","Texas","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",28530
"201","Utah","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",5295
"202","Vermont","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",577
"203","Virginia","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",8005
"204","Washington","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",8303
"205","West Virginia","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",1127
"206","Wisconsin","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",4252
"207","Wyoming","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",657
"208","Puerto Rico","below.poverty.level","Married.couple.family","Bachelordegree.or.higher",9484
"209","Alabama","below.poverty.level","Male.hoholder","L.than.highhool.graduate",5322
"210","Alaska","below.poverty.level","Male.hoholder","L.than.highhool.graduate",371
"211","Arizona","below.poverty.level","Male.hoholder","L.than.highhool.graduate",8712
"212","Arkansas","below.poverty.level","Male.hoholder","L.than.highhool.graduate",3264
"213","California","below.poverty.level","Male.hoholder","L.than.highhool.graduate",47198
"214","Colorado","below.poverty.level","Male.hoholder","L.than.highhool.graduate",3749
"215","Connecticut","below.poverty.level","Male.hoholder","L.than.highhool.graduate",2070
"216","Delaware","below.poverty.level","Male.hoholder","L.than.highhool.graduate",699
"217","District of Columbia","below.poverty.level","Male.hoholder","L.than.highhool.graduate",632
"218","Florida","below.poverty.level","Male.hoholder","L.than.highhool.graduate",18989
"219","Georgia","below.poverty.level","Male.hoholder","L.than.highhool.graduate",12093
"220","Hawaii","below.poverty.level","Male.hoholder","L.than.highhool.graduate",365
"221","Idaho","below.poverty.level","Male.hoholder","L.than.highhool.graduate",1228
"222","Illinois","below.poverty.level","Male.hoholder","L.than.highhool.graduate",10624
"223","Indiana","below.poverty.level","Male.hoholder","L.than.highhool.graduate",5625
"224","Iowa","below.poverty.level","Male.hoholder","L.than.highhool.graduate",1450
"225","Kansas","below.poverty.level","Male.hoholder","L.than.highhool.graduate",1991
"226","Kentucky","below.poverty.level","Male.hoholder","L.than.highhool.graduate",6875
"227","Louisiana","below.poverty.level","Male.hoholder","L.than.highhool.graduate",5891
"228","Maine","below.poverty.level","Male.hoholder","L.than.highhool.graduate",877
"229","Maryland","below.poverty.level","Male.hoholder","L.than.highhool.graduate",3147
"230","Massachusetts","below.poverty.level","Male.hoholder","L.than.highhool.graduate",3386
"231","Michigan","below.poverty.level","Male.hoholder","L.than.highhool.graduate",8967
"232","Minnesota","below.poverty.level","Male.hoholder","L.than.highhool.graduate",3401
"233","Mississippi","below.poverty.level","Male.hoholder","L.than.highhool.graduate",4965
"234","Missouri","below.poverty.level","Male.hoholder","L.than.highhool.graduate",5458
"235","Montana","below.poverty.level","Male.hoholder","L.than.highhool.graduate",658
"236","Nebraska","below.poverty.level","Male.hoholder","L.than.highhool.graduate",971
"237","Nevada","below.poverty.level","Male.hoholder","L.than.highhool.graduate",3029
"238","New Hampshire","below.poverty.level","Male.hoholder","L.than.highhool.graduate",491
"239","New Jersey","below.poverty.level","Male.hoholder","L.than.highhool.graduate",5418
"240","New Mexico","below.poverty.level","Male.hoholder","L.than.highhool.graduate",2965
"241","New York","below.poverty.level","Male.hoholder","L.than.highhool.graduate",18464
"242","North Carolina","below.poverty.level","Male.hoholder","L.than.highhool.graduate",14045
"243","North Dakota","below.poverty.level","Male.hoholder","L.than.highhool.graduate",205
"244","Ohio","below.poverty.level","Male.hoholder","L.than.highhool.graduate",10465
"245","Oklahoma","below.poverty.level","Male.hoholder","L.than.highhool.graduate",3526
"246","Oregon","below.poverty.level","Male.hoholder","L.than.highhool.graduate",3164
"247","Pennsylvania","below.poverty.level","Male.hoholder","L.than.highhool.graduate",8928
"248","Rhode Island","below.poverty.level","Male.hoholder","L.than.highhool.graduate",737
"249","South Carolina","below.poverty.level","Male.hoholder","L.than.highhool.graduate",5901
"250","South Dakota","below.poverty.level","Male.hoholder","L.than.highhool.graduate",632
"251","Tennessee","below.poverty.level","Male.hoholder","L.than.highhool.graduate",7273
"252","Texas","below.poverty.level","Male.hoholder","L.than.highhool.graduate",30066
"253","Utah","below.poverty.level","Male.hoholder","L.than.highhool.graduate",1636
"254","Vermont","below.poverty.level","Male.hoholder","L.than.highhool.graduate",344
"255","Virginia","below.poverty.level","Male.hoholder","L.than.highhool.graduate",4435
"256","Washington","below.poverty.level","Male.hoholder","L.than.highhool.graduate",5223
"257","West Virginia","below.poverty.level","Male.hoholder","L.than.highhool.graduate",2204
"258","Wisconsin","below.poverty.level","Male.hoholder","L.than.highhool.graduate",3906
"259","Wyoming","below.poverty.level","Male.hoholder","L.than.highhool.graduate",132
"260","Puerto Rico","below.poverty.level","Male.hoholder","L.than.highhool.graduate",17529
"261","Alabama","below.poverty.level","Male.hoholder","Highhool.graduate",5214
"262","Alaska","below.poverty.level","Male.hoholder","Highhool.graduate",779
"263","Arizona","below.poverty.level","Male.hoholder","Highhool.graduate",7108
"264","Arkansas","below.poverty.level","Male.hoholder","Highhool.graduate",4088
"265","California","below.poverty.level","Male.hoholder","Highhool.graduate",30913
"266","Colorado","below.poverty.level","Male.hoholder","Highhool.graduate",3538
"267","Connecticut","below.poverty.level","Male.hoholder","Highhool.graduate",2496
"268","Delaware","below.poverty.level","Male.hoholder","Highhool.graduate",584
"269","District of Columbia","below.poverty.level","Male.hoholder","Highhool.graduate",364
"270","Florida","below.poverty.level","Male.hoholder","Highhool.graduate",20286
"271","Georgia","below.poverty.level","Male.hoholder","Highhool.graduate",10310
"272","Hawaii","below.poverty.level","Male.hoholder","Highhool.graduate",1296
"273","Idaho","below.poverty.level","Male.hoholder","Highhool.graduate",1327
"274","Illinois","below.poverty.level","Male.hoholder","Highhool.graduate",10378
"275","Indiana","below.poverty.level","Male.hoholder","Highhool.graduate",8124
"276","Iowa","below.poverty.level","Male.hoholder","Highhool.graduate",2296
"277","Kansas","below.poverty.level","Male.hoholder","Highhool.graduate",2691
"278","Kentucky","below.poverty.level","Male.hoholder","Highhool.graduate",6014
"279","Louisiana","below.poverty.level","Male.hoholder","Highhool.graduate",5212
"280","Maine","below.poverty.level","Male.hoholder","Highhool.graduate",1682
"281","Maryland","below.poverty.level","Male.hoholder","Highhool.graduate",3749
"282","Massachusetts","below.poverty.level","Male.hoholder","Highhool.graduate",4117
"283","Michigan","below.poverty.level","Male.hoholder","Highhool.graduate",12134
"284","Minnesota","below.poverty.level","Male.hoholder","Highhool.graduate",3871
"285","Mississippi","below.poverty.level","Male.hoholder","Highhool.graduate",4275
"286","Missouri","below.poverty.level","Male.hoholder","Highhool.graduate",6871
"287","Montana","below.poverty.level","Male.hoholder","Highhool.graduate",979
"288","Nebraska","below.poverty.level","Male.hoholder","Highhool.graduate",1318
"289","Nevada","below.poverty.level","Male.hoholder","Highhool.graduate",2445
"290","New Hampshire","below.poverty.level","Male.hoholder","Highhool.graduate",725
"291","New Jersey","below.poverty.level","Male.hoholder","Highhool.graduate",5691
"292","New Mexico","below.poverty.level","Male.hoholder","Highhool.graduate",2743
"293","New York","below.poverty.level","Male.hoholder","Highhool.graduate",18136
"294","North Carolina","below.poverty.level","Male.hoholder","Highhool.graduate",9985
"295","North Dakota","below.poverty.level","Male.hoholder","Highhool.graduate",441
"296","Ohio","below.poverty.level","Male.hoholder","Highhool.graduate",14817
"297","Oklahoma","below.poverty.level","Male.hoholder","Highhool.graduate",4778
"298","Oregon","below.poverty.level","Male.hoholder","Highhool.graduate",4081
"299","Pennsylvania","below.poverty.level","Male.hoholder","Highhool.graduate",13817
"300","Rhode Island","below.poverty.level","Male.hoholder","Highhool.graduate",891
"301","South Carolina","below.poverty.level","Male.hoholder","Highhool.graduate",5358
"302","South Dakota","below.poverty.level","Male.hoholder","Highhool.graduate",714
"303","Tennessee","below.poverty.level","Male.hoholder","Highhool.graduate",8628
"304","Texas","below.poverty.level","Male.hoholder","Highhool.graduate",22052
"305","Utah","below.poverty.level","Male.hoholder","Highhool.graduate",1617
"306","Vermont","below.poverty.level","Male.hoholder","Highhool.graduate",625
"307","Virginia","below.poverty.level","Male.hoholder","Highhool.graduate",5210
"308","Washington","below.poverty.level","Male.hoholder","Highhool.graduate",4784
"309","West Virginia","below.poverty.level","Male.hoholder","Highhool.graduate",2557
"310","Wisconsin","below.poverty.level","Male.hoholder","Highhool.graduate",5364
"311","Wyoming","below.poverty.level","Male.hoholder","Highhool.graduate",328
"312","Puerto Rico","below.poverty.level","Male.hoholder","Highhool.graduate",12542
"313","Alabama","below.poverty.level","Male.hoholder","ociatedegree",3473
"314","Alaska","below.poverty.level","Male.hoholder","ociatedegree",578
"315","Arizona","below.poverty.level","Male.hoholder","ociatedegree",6617
"316","Arkansas","below.poverty.level","Male.hoholder","ociatedegree",2508
"317","California","below.poverty.level","Male.hoholder","ociatedegree",28819
"318","Colorado","below.poverty.level","Male.hoholder","ociatedegree",3819
"319","Connecticut","below.poverty.level","Male.hoholder","ociatedegree",1211
"320","Delaware","below.poverty.level","Male.hoholder","ociatedegree",442
"321","District of Columbia","below.poverty.level","Male.hoholder","ociatedegree",433
"322","Florida","below.poverty.level","Male.hoholder","ociatedegree",13970
"323","Georgia","below.poverty.level","Male.hoholder","ociatedegree",7002
"324","Hawaii","below.poverty.level","Male.hoholder","ociatedegree",545
"325","Idaho","below.poverty.level","Male.hoholder","ociatedegree",1107
"326","Illinois","below.poverty.level","Male.hoholder","ociatedegree",9200
"327","Indiana","below.poverty.level","Male.hoholder","ociatedegree",4707
"328","Iowa","below.poverty.level","Male.hoholder","ociatedegree",2074
"329","Kansas","below.poverty.level","Male.hoholder","ociatedegree",2346
"330","Kentucky","below.poverty.level","Male.hoholder","ociatedegree",3612
"331","Louisiana","below.poverty.level","Male.hoholder","ociatedegree",3222
"332","Maine","below.poverty.level","Male.hoholder","ociatedegree",885
"333","Maryland","below.poverty.level","Male.hoholder","ociatedegree",2182
"334","Massachusetts","below.poverty.level","Male.hoholder","ociatedegree",2790
"335","Michigan","below.poverty.level","Male.hoholder","ociatedegree",9854
"336","Minnesota","below.poverty.level","Male.hoholder","ociatedegree",3570
"337","Mississippi","below.poverty.level","Male.hoholder","ociatedegree",3190
"338","Missouri","below.poverty.level","Male.hoholder","ociatedegree",4657
"339","Montana","below.poverty.level","Male.hoholder","ociatedegree",929
"340","Nebraska","below.poverty.level","Male.hoholder","ociatedegree",1530
"341","Nevada","below.poverty.level","Male.hoholder","ociatedegree",2152
"342","New Hampshire","below.poverty.level","Male.hoholder","ociatedegree",581
"343","New Jersey","below.poverty.level","Male.hoholder","ociatedegree",2926
"344","New Mexico","below.poverty.level","Male.hoholder","ociatedegree",3178
"345","New York","below.poverty.level","Male.hoholder","ociatedegree",11425
"346","North Carolina","below.poverty.level","Male.hoholder","ociatedegree",7288
"347","North Dakota","below.poverty.level","Male.hoholder","ociatedegree",476
"348","Ohio","below.poverty.level","Male.hoholder","ociatedegree",8812
"349","Oklahoma","below.poverty.level","Male.hoholder","ociatedegree",3246
"350","Oregon","below.poverty.level","Male.hoholder","ociatedegree",4560
"351","Pennsylvania","below.poverty.level","Male.hoholder","ociatedegree",6788
"352","Rhode Island","below.poverty.level","Male.hoholder","ociatedegree",504
"353","South Carolina","below.poverty.level","Male.hoholder","ociatedegree",2731
"354","South Dakota","below.poverty.level","Male.hoholder","ociatedegree",742
"355","Tennessee","below.poverty.level","Male.hoholder","ociatedegree",5009
"356","Texas","below.poverty.level","Male.hoholder","ociatedegree",16273
"357","Utah","below.poverty.level","Male.hoholder","ociatedegree",1595
"358","Vermont","below.poverty.level","Male.hoholder","ociatedegree",227
"359","Virginia","below.poverty.level","Male.hoholder","ociatedegree",3932
"360","Washington","below.poverty.level","Male.hoholder","ociatedegree",4851
"361","West Virginia","below.poverty.level","Male.hoholder","ociatedegree",1636
"362","Wisconsin","below.poverty.level","Male.hoholder","ociatedegree",4832
"363","Wyoming","below.poverty.level","Male.hoholder","ociatedegree",345
"364","Puerto Rico","below.poverty.level","Male.hoholder","ociatedegree",6186
"365","Alabama","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",582
"366","Alaska","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",93
"367","Arizona","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",966
"368","Arkansas","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",355
"369","California","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",7943
"370","Colorado","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",999
"371","Connecticut","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",366
"372","Delaware","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",183
"373","District of Columbia","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",122
"374","Florida","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",4488
"375","Georgia","below.poverty.level","Male.hoholder","Bachelordegree.or.higher",1743
